ts_unix_ms,t_since_submit_s,inside_request_window,pcie_tx_GiB_s,pcie_rx_GiB_s,pcie_total_GiB_s,pcie_tx_cum_GiB,pcie_rx_cum_GiB,pcie_total_cum_GiB,gpu_mem_used_GiB,util_gpu_pct,cpu_util_pct
1774778638199,1.828000,1,0.000278,0.000325,0.000604,6.498041,12.307211,18.805253,68.825684,0.000000,0.000000
1774778638241,1.870000,1,0.000278,0.000278,0.000557,6.498053,12.307223,18.805277,68.825684,0.000000,0.100000
1774778638284,1.913000,1,0.000278,0.000233,0.000511,6.498065,12.307233,18.805298,68.825684,0.000000,0.400000
1774778638326,1.955000,0,0.000651,0.000233,0.000884,6.498093,12.307243,18.805335,68.825684,0.000000,0.200000
1774778638368,1.997000,0,0.000278,0.000278,0.000557,6.498104,12.307255,18.805359,68.825684,0.000000,0.000000
1774778638411,2.040000,0,0.000278,0.000278,0.000557,6.498116,12.307266,18.805382,68.825684,0.000000,0.000000
1774778638453,2.082000,0,0.000278,0.000233,0.000511,6.498128,12.307276,18.805404,68.825684,0.000000,0.100000
1774778638495,2.124000,0,0.000278,0.000233,0.000511,6.498140,12.307286,18.805425,68.825684,0.000000,0.000000
1774778638537,2.166000,0,0.000651,0.000278,0.000930,6.498167,12.307298,18.805465,68.825684,0.000000,0.200000
1774778638579,2.208000,0,0.000278,0.000233,0.000511,6.498179,12.307307,18.805486,68.825684,0.000000,0.300000
1774778638621,2.250000,0,0.000884,0.000233,0.001117,6.498217,12.307317,18.805534,68.825684,0.000000,0.100000
1774778638664,2.293000,0,0.000278,0.000233,0.000511,6.498228,12.307327,18.805555,68.825684,0.000000,0.100000
1774778638706,2.335000,0,0.000278,0.000325,0.000604,6.498240,12.307341,18.805581,68.825684,0.000000,0.000000
1774778638748,2.377000,0,0.001583,0.000278,0.001862,6.498307,12.307353,18.805659,68.825684,0.000000,0.100000
1774778638790,2.419000,0,0.000278,0.000233,0.000511,6.498318,12.307362,18.805681,68.825684,0.000000,0.000000
1774778638832,2.461000,0,0.136112,27.680210,27.816322,6.504294,13.522664,20.026958,68.825684,0.000000,0.200000
1774778638876,2.505000,0,3.164820,28.213718,31.378538,6.646446,14.789916,21.436362,68.825684,0.000000,0.200000
1774778638921,2.550000,0,4.122732,28.699450,32.822182,6.861253,16.285248,23.146502,68.825684,0.000000,0.400000
1774778638973,2.602000,0,2.897437,0.014854,2.912292,6.986043,16.285888,23.271931,68.825684,0.000000,0.200000
1774778639016,2.645000,0,0.007823,0.015367,0.023190,6.986375,16.286540,23.272915,68.825684,31.000000,0.400000
1774778639059,2.688000,0,1.198472,0.025192,1.223664,7.037572,16.287616,23.325188,68.825684,31.000000,0.500000
1774778639102,2.731000,0,0.008894,0.026356,0.035250,7.037953,16.288747,23.326700,68.825684,31.000000,0.200000
1774778639144,2.773000,0,0.008941,0.026868,0.035809,7.038335,16.289895,23.328230,68.825684,31.000000,0.400000
1774778639187,2.816000,0,0.009033,0.027380,0.036413,7.038720,16.291061,23.329781,68.825684,31.000000,0.400000
1774778639230,2.859000,0,0.009406,0.018486,0.027892,7.039120,16.291847,23.330966,68.825684,98.000000,0.300000
1774778639272,2.901000,0,0.000325,0.000278,0.000604,7.039133,16.291858,23.330992,68.825684,98.000000,0.000000
1774778639314,2.943000,0,0.000325,0.000278,0.000604,7.039147,16.291870,23.331017,68.825684,98.000000,0.000000
1774778639357,2.986000,0,0.000278,0.000278,0.000557,7.039159,16.291882,23.331041,68.825684,98.000000,0.300000
1774778639399,3.028000,0,0.000278,0.000419,0.000697,7.039171,16.291900,23.331070,68.825684,98.000000,0.300000
1774778639441,3.070000,0,0.000278,0.000233,0.000511,7.039183,16.291910,23.331092,68.825684,73.000000,0.300000
1774778639484,3.113000,0,0.000278,0.000278,0.000557,7.039194,16.291921,23.331116,68.825684,73.000000,0.200000
1774778639526,3.155000,0,0.000651,0.000233,0.000884,7.039222,16.291931,23.331153,68.825684,73.000000,0.100000
1774778639569,3.198000,0,0.000278,0.000278,0.000557,7.039234,16.291943,23.331176,68.825684,73.000000,0.000000
1774778639611,3.240000,0,0.000278,0.000278,0.000557,7.039245,16.291955,23.331200,68.825684,0.000000,0.000000
